-105.342156 40.048071
-105.342167 40.048020
-105.342231 40.048020
-105.342424 40.048085
-105.342631 40.048121
-105.342851 40.048196
-105.343056 40.048251
-105.342996 40.048393
-105.342936 40.048541
-105.342879 40.048682
-105.342831 40.048818
-105.342776 40.048957
-105.342712 40.049122
-105.342624 40.049239
-105.342599 40.049229
-105.342496 40.049190
-105.342380 40.049080
-105.342263 40.048966
-105.342297 40.048789
-105.342291 40.048610
-105.342256 40.048440
-105.342214 40.048268
-105.342156 40.048086
-105.342156 40.048071
